Parameter,Value
"Station ID","43279"
"Day (UTC)","15"
"Hour (UTC)","0009Z"
"Wind Unit","knots"
"Temperature (°C)","38.6"
"Dew Point (°C)","19.8"
"Max Temperature (°C)","41.2"
"Min Temperature (°C)","31.5"
"Relative Humidity (%)","33.7"
"Cloud Cover (oktas)","0"
"Low Cloud Cover (oktas)","None"
"Low Cloud Type","None"
"Medium Cloud Type","None"
"High Cloud Type","None"
"Cloud Base Height (m)","0"
"Wind Direction (°)","10"
"Wind Speed","12.0"
"Wind Speed Unit","knots"
"Visibility (km)","0.8"
"Station Pressure (hPa)","1001.5"
"MSL Pressure (hPa)","1003.2"
"Present Weather Code","None"
"Present Weather","None"
"Thunderstorm (TS)","False"
"TS with Rain (TSRA)","False"
